DATETIME,TEMP,RELH,WIND,GUST,DIR,QFLG ,SOLAR,TLKE ° C,PRECIPcum,PRECIP,FT ° C,FM gm,PEAK,PDIR,VOLT volt,DWP
1-1-2011 0:00,8.3,72,2.7,5.8,210,OK,0,-17.8,1.37,0,5,20,6,165,13,3.56
1-1-2011 1:00,8.3,71,3.6,6.3,194,OK,0,-17.8,1.37,0,6.1,19,6,182,13,3.39
1-1-2011 2:00,8.3,72,3.6,6.3,197,OK,0,-17.8,1.37,0,6.1,19,6,213,13,3.56
1-1-2011 3:00,8.3,69,3.1,6.3,202,OK,0,-17.8,1.37,0,6.1,19,6,203,13,3
1-1-2011 4:00,9.4,63,2.7,5.4,192,OK,0,-17.8,1.37,0,6.7,18,5,207,13,2.78
1-1-2011 5:00,10.6,59,2.7,4.9,192,OK,0,-17.8,1.37,0,7.2,17,5,196,13,2.89
1-1-2011 6:00,10.6,58,2.7,4.9,210,OK,0,-17.8,1.37,0,7.2,16,5,208,13,2.61
1-1-2011 7:00,7.8,76,1.8,6.3,216,OK,0,-17.8,1.37,0,6.1,15,6,268,13,3.83
1-1-2011 8:00,7.8,79,2.7,4.5,212,OK,2,-17.8,1.37,0,5.6,17,4,206,13,4.39
1-1-2011 9:00,7.8,79,3.6,6.7,200,OK,14,-17.8,1.37,0,6.7,16,7,188,13,4.39
1-1-2011 10:00,6.7,88,2.2,6.3,174,OK,25,-17.8,1.37,0,5.6,17,6,208,13,4.83
1-1-2011 11:00,8.3,78,3.6,8,200,OK,51,-17.8,1.37,0,7.8,18,8,222,13.1,4.72
1-1-2011 12:00,7.8,89,4.5,8,212,OK,68,-17.8,1.42,0.05,6.7,16,8,198,13.1,6.06
1-1-2011 13:00,7.8,91,4,8.5,216,OK,51,-17.8,1.52,0.1,6.1,22,8,195,13.1,6.39
1-1-2011 14:00,8.9,90,4,7.6,204,OK,58,-17.8,1.55,0.03,7.2,23,8,199,13.2,7.33
1-1-2011 15:00,9.4,84,4,8.9,208,OK,51,-17.8,1.55,0,7.2,23,9,217,13.1,6.89
1-1-2011 16:00,8.9,85,4,8.5,208,OK,26,-17.8,1.55,0,7.2,24,8,206,13.1,6.5
1-1-2011 17:00,8.3,89,3.6,8.9,221,OK,10,-17.8,1.55,0,6.7,24,9,211,13.1,6.61
1-1-2011 18:00,8.3,88,3.6,8.5,218,OK,0,-17.8,1.55,0,6.7,25,8,233,13.1,6.44
1-1-2011 19:00,7.8,97,3.6,7.2,218,OK,0,-17.8,1.55,0,6.1,25,7,238,13,7.33
1-1-2011 20:00,7.8,95,3.1,6.3,214,OK,0,-17.8,1.55,0,6.1,25,6,255,13,7
1-1-2011 21:00,7.8,97,3.1,7.2,237,OK,0,-17.8,1.55,0,6.7,25,7,212,13,7.33
1-1-2011 22:00,7.8,99,2.7,6.7,250,OK,0,-17.8,1.57,0.02,6.7,25,7,196,13,7.61
1-1-2011 23:00,4.4,99,3.6,7.2,314,OK,0,-17.8,1.63,0.06,4.4,24,7,251,13,4.28
1-2-2011 0:00,1.7,100,3.6,7.6,312,OK,0,-17.8,1.63,0,1.7,24,8,308,13,1.67
1-2-2011 1:00,1.1,100,2.2,5.4,305,OK,0,-17.8,1.63,0,1.1,25,5,355,13,1.11
1-2-2011 2:00,0,100,2.7,6.7,313,OK,0,-17.8,1.65,0.02,0,25,7,297,13,0
1-2-2011 3:00,0,100,1.8,6.7,298,OK,0,-17.8,1.65,0,-0.6,25,7,270,13,0
1-2-2011 4:00,-0.6,100,1.8,6.7,313,OK,0,-17.8,1.65,0,0,25,7,260,13,-0.56
1-2-2011 5:00,-1.1,100,2.2,4.9,312,OK,0,-17.8,1.65,0,-0.6,25,5,307,13,-1.11
1-2-2011 6:00,-1.1,100,2.2,4.9,261,OK,0,-17.8,1.65,0,-1.1,25,5,256,13,-1.11
1-2-2011 7:00,-1.1,100,1.8,4.9,253,OK,0,-17.8,1.65,0,-1.1,25,5,275,13,-1.11
1-2-2011 8:00,-1.7,100,2.2,5.4,300,OK,0,-17.8,1.65,0,-1.7,25,5,258,13,-1.67
1-2-2011 9:00,-1.7,100,2.7,6.7,290,OK,10,-17.8,1.65,0,-1.7,25,7,249,13,-1.67
1-2-2011 10:00,-2.2,100,3.1,6.3,291,OK,22,-17.8,1.65,0,-1.7,24,6,255,13,-2.22
1-2-2011 11:00,-2.8,99,3.6,6.7,303,OK,47,-17.8,1.65,0,-1.7,24,7,289,13.1,-2.89
1-2-2011 12:00,-2.2,97,2.7,7.2,305,OK,115,-17.8,1.65,0,-1.1,24,7,275,13.4,-2.61
1-2-2011 13:00,-2.8,92,3.6,6.7,294,OK,242,-17.8,1.7,0.05,0,23,7,285,13.8,-3.89
1-2-2011 14:00,-3.9,93,2.2,7.2,318,OK,138,-17.8,1.7,0,-2.8,23,7,289,13.4,-4.83
1-2-2011 15:00,-4.4,82,3.6,8.5,311,OK,255,-17.8,1.7,0,-3.3,22,8,314,13.8,-7.06
1-2-2011 16:00,-5,86,3.6,7.2,314,OK,97,-17.8,1.7,0,-5,22,7,278,13.5,-7
1-2-2011 17:00,-6.1,84,2.7,6.7,313,OK,28,-17.8,1.7,0,-6.7,21,7,270,13.3,-8.39
1-2-2011 18:00,-7.2,84,4,7.6,315,OK,1,-17.8,1.7,0,-7.2,21,8,301,13.3,-9.44
1-2-2011 19:00,-7.8,85,3.6,7.6,318,OK,0,-17.8,1.7,0,-8.3,21,8,307,13.3,-9.83
1-2-2011 20:00,-8.3,84,4,7.6,317,OK,0,-17.8,1.7,0,-9.4,21,8,301,13.2,-10.56
1-2-2011 21:00,-8.9,82,4.5,8.5,318,OK,0,-17.8,1.7,0,-10,20,8,285,13.2,-11.39
1-2-2011 22:00,-9.4,84,3.6,9.4,321,OK,0,-17.8,1.7,0,-10.6,20,9,310,13.2,-11.61
1-2-2011 23:00,-10,87,3.6,7.2,316,OK,0,-17.8,1.7,0,-11.1,20,7,296,13.2,-11.72
1-3-2011 0:00,-10.6,87,3.1,7.2,322,OK,0,-17.8,1.7,0,-11.7,19,7,318,13.2,-12.28
1-3-2011 1:00,-11.1,90,3.6,8.9,326,OK,0,-17.8,1.7,0,-11.7,19,9,298,13.1,-12.44
1-3-2011 2:00,-11.7,88,3.6,7.6,318,OK,0,-17.8,1.7,0,-11.7,19,8,289,13.1,-13.22
1-3-2011 3:00,-11.7,89,2.7,7.2,318,OK,0,-17.8,1.7,0,-12.2,19,7,12,13.1,-13.11
1-3-2011 4:00,-12.2,91,2.7,8,326,OK,0,-17.8,1.7,0,-12.8,19,8,295,13.1,-13.39
1-3-2011 5:00,-12.8,90,2.7,6.3,321,OK,0,-17.8,1.7,0,-13.3,19,6,305,13.1,-14.06
1-3-2011 6:00,-12.8,90,2.2,7.2,323,OK,0,-17.8,1.7,0,-13.3,19,7,290,13.1,-14.06
1-3-2011 7:00,-12.8,89,2.2,5.4,316,OK,0,-17.8,1.7,0,-13.9,18,5,328,13.1,-14.22
1-3-2011 8:00,-12.8,89,2.2,5.4,309,OK,2,-17.8,1.7,0,-13.3,19,5,303,13.1,-14.22
1-3-2011 9:00,-11.7,85,2.2,4.9,311,OK,34,-17.8,1.7,0,-11.7,19,5,299,13.3,-13.67
